Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
1993-05-13,25.589626980978515,25.589626980978515,25.373376612125178,25.39139747619629,129100,13,3,19,5,1993
1993-05-14,25.391370988704942,25.46345436979424,25.355329298160296,25.373350143432617,63500,14,4,19,5,1993
1993-05-17,25.445447696326728,25.463468551635742,25.33732256447265,25.463468551635742,34000,17,0,20,5,1993
1993-05-18,25.481510643243116,25.499531513570727,25.355364550949833,25.44546890258789,105200,18,1,20,5,1993
1993-05-19,25.44544524934704,25.968050003051758,25.283257567162813,25.968050003051758,50200,19,2,20,5,1993
1993-05-20,25.96805862109966,26.040142059326172,25.91399604242978,26.040142059326172,98200,20,3,20,5,1993
1993-05-21,26.05816785982867,26.094209585775875,25.78785491522464,25.805875778198242,221400,21,4,20,5,1993
1993-05-24,25.859923647905756,26.004090469636242,25.859923647905756,25.913986206054688,30500,24,0,21,5,1993
1993-05-25,26.02211256377983,26.02211256377983,25.968050003051758,25.968050003051758,191800,25,1,21,5,1993
1993-05-26,26.040157765211347,26.310470821597626,26.022136894785596,26.292449951171875,102400,26,2,21,5,1993
1993-05-27,26.32847565174759,26.32847565174759,26.166287916726557,26.202329635620117,53800,27,3,21,5,1993
1993-05-28,26.184304644011924,26.184304644011924,25.95003350817424,26.07617950439453,79100,28,4,21,5,1993
1993-06-01,26.166278737281626,26.41857068102952,26.130237031031925,26.328466415405273,28300,1,1,22,6,1993
1993-06-02,26.25640821032037,26.382554303300633,26.14828298776586,26.292449951171875,20300,2,2,22,6,1993
1993-06-03,26.23837135451368,26.23837135451368,26.148267057279774,26.202329635620117,21600,3,3,22,6,1993
1993-06-04,26.13023398579031,26.13023398579031,26.004088028617527,26.112213134765625,32000,4,4,22,6,1993
1993-06-07,26.16629406091579,26.16629406091579,26.022127151489258,26.022127151489258,121400,7,0,23,6,1993
1993-06-08,25.950029481132077,25.950029481132077,25.787841796875,25.787841796875,104500,8,1,23,6,1993
1993-06-09,25.877952575683594,25.98607772572127,25.84191085900437,25.877952575683594,43300,9,2,23,6,1993
1993-06-10,25.859937203287167,25.913999789774874,25.805874616799457,25.895978927612305,17900,10,3,23,6,1993
1993-06-11,25.98607993968559,26.04014251931046,25.895975640310816,26.004100799560547,647400,11,4,23,6,1993
1993-06-14,26.040133417355857,26.058154270931883,25.968050003051758,25.968050003051758,64200,14,0,24,6,1993
1993-06-15,26.004090469636242,26.02211132235255,25.913986206054688,25.913986206054688,142400,15,1,24,6,1993
1993-06-16,25.913987442323684,25.968050003051758,25.841904028019584,25.968050003051758,330900,16,2,24,6,1993
1993-06-17,26.022109542150222,26.058151245117188,25.968046987699772,26.058151245117188,37400,17,3,24,6,1993
1993-06-18,26.043206955609698,26.043206955609698,25.84357261657715,25.84357261657715,58500,18,4,24,6,1993
1993-06-21,25.916164550567395,25.916164550567395,25.861718826721663,25.89801597595215,29300,21,0,25,6,1993
1993-06-22,25.934314881386207,25.934314881386207,25.87986915385356,25.916166305541992,137500,22,1,25,6,1993
1993-06-23,25.91616832072659,25.91616832072659,25.68023681640625,25.68023681640625,227600,23,2,25,6,1993
1993-06-24,25.752837647952795,26.025066375732422,25.752837647952795,26.025066375732422,243700,24,3,25,6,1993
1993-06-25,26.00691032409668,26.079504630653823,25.988761747457392,26.00691032409668,44800,25,4,25,6,1993
1993-06-28,26.133938428037656,26.29727554321289,26.09764129133205,26.29727554321289,439900,28,0,26,6,1993
1993-06-29,26.260987088683574,26.260987088683574,26.133947068213093,26.170244216918945,207500,29,1,26,6,1993
1993-06-30,26.206541365624798,26.260987088683574,26.133947068213093,26.170244216918945,437600,30,2,26,6,1993
1993-07-01,26.206540061303404,26.206540061303404,26.061351473706154,26.09764862060547,605700,1,3,26,7,1993
1993-07-02,26.006920345012958,26.025068928645208,25.861731675954964,25.95247459411621,285400,2,4,26,7,1993
1993-07-06,25.91616832072659,25.988762629748233,25.643939661895427,25.68023681640625,246400,6,1,27,7,1993
1993-07-07,25.66210472692983,25.78914484934037,25.66210472692983,25.75284767150879,343700,7,2,27,7,1993
1993-07-08,25.77098984668479,26.09766436586812,25.734692677886642,26.0432186126709,248200,8,3,27,7,1993
1993-07-09,26.043219867889214,26.115814208984375,25.98877411206784,26.115814208984375,378200,9,4,27,7,1993
1993-07-12,26.07950004715581,26.115797194055123,26.0432029002565,26.09764862060547,373700,12,0,28,7,1993
1993-07-13,26.115799255477278,26.188393555006055,25.93431350665534,26.07950210571289,389600,13,1,28,7,1993
1993-07-14,26.097649919507244,26.24283851433065,26.079501345154316,26.170244216918945,617300,14,2,28,7,1993
1993-07-15,26.152090816444673,26.152090816444673,26.00690224841445,26.06134796142578,443800,15,3,28,7,1993
1993-07-16,26.079514355632845,26.09766293903969,25.952474271784947,25.988771438598633,216400,16,4,28,7,1993
1993-07-19,25.988756330424803,25.988756330424803,25.898013466142594,25.97060775756836,188200,19,0,29,7,1993
1993-07-20,25.952475690675527,26.0432186126709,25.825435599882013,26.0432186126709,68500,20,1,29,7,1993
1993-07-21,26.006917793880447,26.025066375732422,25.93432346647255,26.025066375732422,142700,21,2,29,7,1993
1993-07-22,25.98876122678264,26.02505837933401,25.84357261657715,25.84357261657715,632400,22,3,29,7,1993
1993-07-23,25.898013466142594,25.97060775756836,25.87986489328615,25.97060775756836,286200,23,4,29,7,1993
1993-07-26,26.043219867889214,26.170259964805748,26.043219867889214,26.115814208984375,121300,26,0,30,7,1993
1993-07-27,26.13394576750478,26.152094340954434,26.006905753357188,26.09764862060547,92800,27,1,30,7,1993
1993-07-28,26.0432186126709,26.09766436586812,26.00692144387275,26.0432186126709,30800,28,2,30,7,1993
1993-07-29,26.097657370881247,26.26099458669344,26.06136021181187,26.188400268554688,331000,29,3,30,7,1993
1993-07-30,26.188407287863487,26.188407287863487,26.00692144387275,26.0432186126709,75300,30,4,30,7,1993
1993-08-02,26.079517038436794,26.20655713535333,26.079517038436794,26.115814208984375,41300,2,0,31,8,1993
1993-08-03,26.170255981551275,26.242850311597188,26.04321590397093,26.13395881652832,81600,3,1,31,8,1993
1993-08-04,26.13395881652832,26.188404564062754,26.061364486482407,26.13395881652832,434000,4,2,31,8,1993
1993-08-05,26.133947830359475,26.133947830359475,26.043204955948504,26.07950210571289,36800,5,3,31,8,1993
1993-08-06,26.152111379531956,26.170259964805748,26.079517038436794,26.115814208984375,402300,6,4,31,8,1993
1993-08-09,26.188393934891813,26.333582536055456,26.133948209455447,26.260988235473633,828200,9,0,32,8,1993
1993-08-10,26.242828369140625,26.260976936477512,26.206531234466848,26.242828369140625,604900,10,1,32,8,1993
1993-08-11,26.224679801803735,26.31542263848818,26.224679801803735,26.242828369140625,542200,11,2,32,8,1993
1993-08-12,26.31543281174235,26.31543281174235,26.079501345154316,26.170244216918945,303700,12,3,32,8,1993
1993-08-13,26.1884058294534,26.224702996230192,26.1884058294534,26.206554412841797,103500,13,4,32,8,1993
1993-08-16,26.22469032434721,26.42432464515539,26.22469032434721,26.351730346679688,241800,16,0,33,8,1993
1993-08-17,26.33357911381561,26.44247055053711,26.33357911381561,26.44247055053711,369300,17,1,33,8,1993
1993-08-18,26.533216019457925,26.6421074668702,26.515067444889212,26.587661743164062,414300,18,2,33,8,1993
1993-08-19,26.605810317732775,26.605810317732775,26.551364594026637,26.587661743164062,28500,19,3,33,8,1993
1993-08-20,26.53322347612368,26.605817794799805,26.51507489645465,26.605817794799805,80700,20,4,33,8,1993
1993-08-23,26.496911560600946,26.569505838849167,26.496911560600946,26.55135726928711,15600,23,0,34,8,1993
1993-08-24,26.551381351659234,26.841758728027344,26.551381351659234,26.841758728027344,273400,24,1,34,8,1993
1993-08-25,26.841754752236444,26.968794835580365,26.805457585566753,26.85990333557129,242300,25,2,34,8,1993
1993-08-26,26.8780460357666,27.02323467066608,26.76915455959199,26.8780460357666,120000,26,3,34,8,1993
1993-08-27,26.805457585566753,26.85990333557129,26.805457585566753,26.85990333557129,25700,27,4,34,8,1993
1993-08-30,26.878043351872932,27.00508339472446,26.878043351872932,26.968786239624023,183500,30,0,35,8,1993
1993-08-31,26.950633241026193,27.0413761138916,26.91433609188003,27.0413761138916,66500,31,1,35,8,1993
1993-09-01,26.95064115908838,27.05953263851904,26.95064115908838,27.00508689880371,136500,1,2,35,9,1993
1993-09-02,27.023232440086772,27.059529595815565,26.896192395035996,26.91434097290039,472400,2,3,35,9,1993
1993-09-03,26.89617890617597,26.968773181226375,26.859881768650766,26.932476043701172,630500,3,4,35,9,1993
1993-09-07,26.93248712029839,26.968784272751623,26.714704205578997,26.751001358032227,196400,7,1,36,9,1993
1993-09-08,26.751000216739207,26.751000216739207,26.478771584954206,26.66025733947754,269900,8,2,36,9,1993
1993-09-09,26.551357847193014,26.73284354676371,26.551357847193014,26.71469497680664,239200,9,3,36,9,1993
1993-09-10,26.78729872270064,26.968784486404573,26.751001569959854,26.95063591003418,106500,10,4,36,9,1993
1993-09-13,27.041380549824893,27.041380549824893,26.968786239624023,26.968786239624023,66900,13,0,37,9,1993
1993-09-14,26.89620050224098,26.89620050224098,26.769160418897062,26.85990333557129,184500,14,1,37,9,1993
1993-09-15,26.750990356075153,26.950624612463773,26.660247512262146,26.932476043701172,101000,15,2,37,9,1993
1993-09-16,26.89618170019416,26.91433027084206,26.805438846954637,26.82358741760254,54300,16,3,37,9,1993
1993-09-17,26.80810877343317,26.826370427910984,26.735062155521906,26.77158546447754,200900,17,4,37,9,1993
1993-09-20,26.808119163880487,26.862904148547816,26.55245590209961,26.55245590209961,57800,20,0,38,9,1993
1993-09-21,26.58896935504416,26.62549266459779,26.187212949954205,26.461137771606445,318200,21,1,38,9,1993
1993-09-22,26.552439596292338,26.716794449364297,26.515916295609678,26.68027114868164,439700,22,2,38,9,1993
1993-09-23,26.753331230480384,26.844639528195334,26.716807911394405,26.826377868652344,88500,23,3,38,9,1993
1993-09-24,26.789843998671394,26.808105651022228,26.716797389268063,26.753320693969727,53500,24,4,38,9,1993
1993-09-27,26.954201069174385,27.045509338378906,26.954201069174385,27.045509338378906,274600,27,0,39,9,1993
1993-09-28,27.063769266957035,27.063769266957035,26.97246100357324,26.99072265625,158300,28,1,39,9,1993
1993-09-29,26.99073189387739,27.06377852958477,26.86290028138947,26.899423599243164,221000,29,2,39,9,1993
1993-09-30,26.899404689243863,26.95418962751116,26.789834812709262,26.844619750976562,99300,30,3,39,9,1993
1993-10-01,26.808108717828645,27.00898691666796,26.77158540894877,26.972463607788086,22700,1,4,39,10,1993
1993-10-04,27.008974075317383,27.008974075317383,26.93592749228745,27.008974075317383,1038500,4,0,40,10,1993
1993-10-05,27.063771879987776,27.063771879987776,26.881155335588396,26.972463607788086,436500,5,1,40,10,1993
1993-10-06,26.990722141937834,27.10029205591052,26.954198837280273,26.954198837280273,209200,6,2,40,10,1993
1993-10-07,26.99071727887444,26.99071727887444,26.862885735605076,26.881147384643555,59400,7,3,40,10,1993
1993-10-08,26.954200232206883,26.972461885480737,26.716798739646798,26.91767692565918,54400,8,4,40,10,1993
1993-10-11,26.972463607788086,27.027248571107897,26.972463607788086,26.972463607788086,467100,11,0,41,10,1993
1993-10-12,27.008974075317383,27.027235721074867,26.9907124295599,27.008974075317383,26200,12,1,41,10,1993
1993-10-13,27.027235721074867,27.027235721074867,26.97245078380242,27.008974075317383,139100,13,2,41,10,1993
1993-10-14,27.118572552150017,27.355974197387695,27.045525892076885,27.355974197387695,108100,14,3,41,10,1993
1993-10-15,27.483792558292627,27.556839183032277,27.41074593355298,27.50205421447754,1502500,15,4,41,10,1993
1993-10-18,27.48378772075262,27.48378772075262,27.392479455899622,27.42900276184082,722400,18,0,42,10,1993
1993-10-19,27.39247757664149,27.447262531794774,27.22812271118164,27.22812271118164,880100,19,1,42,10,1993
1993-10-20,27.31943339752177,27.31943339752177,27.209863477478233,27.2646484375,230400,20,2,42,10,1993
1993-10-21,27.282907666334925,27.282907666334925,27.19159940774612,27.22812271118164,56200,21,3,42,10,1993
1993-10-22,27.264641320930338,27.37421121237413,27.10028648376465,27.10028648376465,390700,22,4,42,10,1993
1993-10-25,27.118558691393943,27.209866969816144,27.045512068656183,27.173343658447266,114500,25,0,43,10,1993
1993-10-26,27.155065536499023,27.173327181109983,27.063757313444217,27.155065536499023,186200,26,1,43,10,1993
1993-10-27,27.118558691393943,27.191605314131706,27.118558691393943,27.173343658447266,118400,27,2,43,10,1993
1993-10-28,27.209885859982503,27.447287548693758,27.209885859982503,27.37424087524414,129600,28,3,43,10,1993
1993-10-29,27.355979206881738,27.392502543606547,27.337717538519332,27.37424087524414,80700,29,4,43,10,1993
1993-11-01,27.337686203672977,27.465517735687477,27.337686203672977,27.447256088256836,36400,1,0,44,11,1993
1993-11-02,27.410741108870223,27.465526067782022,27.264647885105422,27.42900276184082,262100,2,1,44,11,1993
1993-11-03,27.410741002191504,27.410741002191504,26.954199679703304,27.08203125,479100,3,2,44,11,1993
1993-11-04,27.082042525069767,27.082042525069767,26.771594296528843,26.78985595703125,130400,4,3,44,11,1993
1993-11-05,26.716798739646798,26.91767692565918,26.60722882000368,26.91767692565918,363200,5,4,44,11,1993
1993-11-08,26.93593718495149,27.027245446595394,26.86289057563637,26.954198837280273,367600,8,0,45,11,1993
1993-11-09,27.136818497747527,27.155080152187463,26.954201953348147,26.972463607788086,246900,9,1,45,11,1993
1993-11-10,26.97246544591842,27.173343658447266,26.89941882318066,27.173343658447266,46500,10,2,45,11,1993
1993-11-11,27.173333078060512,27.246379672356372,27.082024835190683,27.10028648376465,88900,11,3,45,11,1993
1993-11-12,27.1550761043106,27.319430969770448,27.136814452592837,27.22812271118164,108200,12,4,45,11,1993
1993-11-15,27.282900714234216,27.282900714234216,27.13680753771891,27.209854125976562,243300,15,0,46,11,1993
1993-11-16,27.264658970600298,27.355967272578194,27.15508900822682,27.337705612182617,492600,16,1,46,11,1993
1993-11-17,27.355953754555706,27.355953754555706,27.118552286725784,27.191598892211914,39600,17,2,46,11,1993
1993-11-18,27.155080285377373,27.209865248965897,27.045510358200332,27.11855697631836,240800,18,3,46,11,1993
1993-11-19,27.027246987449654,27.10029360092925,27.008985334079757,27.063770294189453,106000,19,4,46,11,1993
1993-11-22,26.99073189387739,27.008993552804235,26.808115304608936,26.899423599243164,165300,22,0,47,11,1993
1993-11-23,27.045509338378906,27.06377099221981,26.89941610765167,27.045509338378906,89700,23,1,47,11,1993
1993-11-24,27.1185422472771,27.173327181109983,27.08201895805518,27.155065536499023,77200,24,2,47,11,1993
1993-11-26,27.228128625500585,27.228128625500585,27.155082002762825,27.173343658447266,1019800,26,4,47,11,1993
1993-11-29,27.246386827888436,27.301171787998133,27.063770294189453,27.063770294189453,517500,29,0,48,11,1993
1993-11-30,27.045507944200942,27.209862820296696,27.027246291301413,27.08203125,230000,30,1,48,11,1993
1993-12-01,27.228126903495404,27.24638855802491,27.11855697631836,27.11855697631836,379200,1,2,48,12,1993
1993-12-02,27.173337240840382,27.209860543583446,27.118552286725784,27.191598892211914,352000,2,3,48,12,1993
1993-12-03,27.17334257910483,27.30117416381836,27.17334257910483,27.30117416381836,306000,3,4,48,12,1993
1993-12-06,27.337707309722898,27.429015617370606,27.337707309722898,27.392492294311523,99500,6,0,49,12,1993
1993-12-07,27.392502543606547,27.41076421196895,27.337717538519332,27.37424087524414,88800,7,1,49,12,1993
1993-12-08,27.37424087524414,27.37424087524414,27.337717538519332,27.37424087524414,146700,8,2,49,12,1993
1993-12-09,27.374229140071026,27.4107524611385,27.24639751633487,27.282920837402344,416500,9,3,49,12,1993
1993-12-10,27.301169318052686,27.301169318052686,27.17333775602836,27.22812271118164,412900,10,4,49,12,1993
1993-12-13,27.228137340545654,27.392492294311523,27.19161401748657,27.392492294311523,273200,13,0,50,12,1993
1993-12-14,27.410738708670305,27.410738708670305,27.191598892211914,27.191598892211914,41900,14,1,50,12,1993
1993-12-15,27.228112114942867,27.24637375955383,27.155065536499023,27.155065536499023,82600,15,2,50,12,1993
1993-12-16,27.26467013039474,27.26467013039474,27.209885126783767,27.246408462524414,78200,16,3,50,12,1993
1993-12-17,27.304209593958504,27.414529632721973,27.285822920831258,27.396142959594727,104700,17,4,50,12,1993
1993-12-20,27.377735682530954,27.451282319690204,27.35934902324114,27.43289566040039,68800,20,0,51,12,1993
1993-12-21,27.396142455500566,27.396142455500566,27.304209091555933,27.34098243713379,205700,21,1,51,12,1993
1993-12-22,27.414534601276525,27.543241336493786,27.3593745718977,27.52485466003418,410300,22,2,51,12,1993
1993-12-23,27.50645637512207,27.561616381221913,27.469683037722174,27.50645637512207,533800,23,3,51,12,1993
1993-12-27,27.506446361541748,27.653539657592773,27.506446361541748,27.653539657592773,447100,27,0,52,12,1993
1993-12-28,27.635157335176324,27.72709065964464,27.61677067028266,27.708703994750977,880600,28,1,52,12,1993
1993-12-29,27.727084573638002,27.745471234495852,27.653537930206603,27.671924591064453,266700,29,2,52,12,1993
1993-12-30,27.653548329094395,27.653548329094395,27.50645498691836,27.561614990234375,219900,30,3,52,12,1993
1993-12-31,27.616781284631617,27.653554628552566,27.396141221105932,27.414527893066406,312900,31,4,52,12,1993
1994-01-03,27.414529128289495,27.451302473867347,27.304209091555933,27.34098243713379,960900,3,0,1,1,1994
1994-01-04,27.3777358635751,27.451282501220703,27.3409625447523,27.451282501220703,164300,4,1,1,1,1994
1994-01-05,27.48806970642212,27.524843043822017,27.377749694222434,27.50645637512207,710900,5,2,1,1,1994
1994-01-06,27.543229712521963,27.561616381221913,27.469683037722174,27.50645637512207,201000,6,3,1,1,1994
1994-01-07,27.56160462591735,27.690311251922303,27.48805798248595,27.671924591064453,775500,7,4,1,1,1994
1994-01-10,27.708706780005972,28.002893447875977,27.63516011303847,28.002893447875977,593700,10,0,2,1,1994
1994-01-11,27.984517717361452,27.984517717361452,27.8558109998703,27.947744369506836,295200,11,1,2,1,1994
1994-01-12,27.966112971541904,27.966112971541904,27.76385968903897,27.855792999267578,158400,12,2,2,1,1994
1994-01-13,27.782251358032227,27.837411354110383,27.745478027313453,27.782251358032227,244300,13,3,2,1,1994
1994-01-14,27.874193361266002,27.947740045596518,27.874193361266002,27.892580032348633,137200,14,4,2,1,1994
1994-01-17,27.892580032348633,27.92935337451389,27.837420019100744,27.892580032348633,17700,17,0,3,1,1994
1994-01-18,27.929344177246094,27.966117507301718,27.874184182162658,27.929344177246094,166400,18,1,3,1,1994
1994-01-19,27.89256632335902,27.929339647450462,27.800633013130412,27.855792999267578,200800,19,2,3,1,1994
1994-01-20,27.89257084719047,27.947730842273906,27.874184182162658,27.929344177246094,281100,20,3,3,1,1994
1994-01-21,27.9661093236274,27.9661093236274,27.85578936574327,27.874176025390625,85600,21,4,3,1,1994
1994-01-24,27.85578827510606,27.984494887598302,27.76385498046875,27.76385498046875,373800,24,0,4,1,1994
1994-01-25,27.78224163939621,27.800628298323673,27.708695003686362,27.76385498046875,310400,25,1,4,1,1994
1994-01-26,27.76386521766491,27.855798546200226,27.727091886250786,27.837411880493164,145100,26,2,4,1,1994
1994-01-27,27.89257620516872,28.131602896445706,27.85580286804918,28.094829559326172,344500,27,3,4,1,1994
1994-01-28,28.20513498191734,28.26029495906581,28.16836166381836,28.16836166381836,356500,28,4,4,1,1994
1994-01-31,28.2786893146191,28.42578262704885,28.241915986511664,28.370622634887695,313800,31,0,5,1,1994
1994-02-01,28.333849801924018,28.333849801924018,28.186756486923763,28.223529815673828,303600,1,1,5,2,1994
